date,metric,submetric,value,display
Oct 1 2023,Births by maternal race/ethnicity,Asian/PI,3663,Number
Jan 1 2024,Births by maternal race/ethnicity,Asian/PI,3580,Number
Apr 1 2024,Births by maternal race/ethnicity,Asian/PI,3578,Number
Jul 1 2024,Births by maternal race/ethnicity,Asian/PI,3809,Number
Oct 1 2024,Births by maternal race/ethnicity,Asian/PI,3996,Number
Jan 1 2025,Births by maternal race/ethnicity,Asian/PI,3660,Number
Apr 1 2025,Births by maternal race/ethnicity,Asian/PI,3593,Number
Jul 1 2025,Births by maternal race/ethnicity,Asian/PI,3602,Number
Oct 1 2025,Births by maternal race/ethnicity,Asian/PI,3683,Number
Jan 1 2026,Births by maternal race/ethnicity,Asian/PI,3555,Number
Oct 1 2023,Births by maternal race/ethnicity,Black,4235,Number
Jan 1 2024,Births by maternal race/ethnicity,Black,3898,Number
Apr 1 2024,Births by maternal race/ethnicity,Black,3862,Number
Jul 1 2024,Births by maternal race/ethnicity,Black,4083,Number
Oct 1 2024,Births by maternal race/ethnicity,Black,4046,Number
Jan 1 2025,Births by maternal race/ethnicity,Black,3711,Number
Apr 1 2025,Births by maternal race/ethnicity,Black,3600,Number
Jul 1 2025,Births by maternal race/ethnicity,Black,3756,Number
Oct 1 2025,Births by maternal race/ethnicity,Black,3568,Number
Jan 1 2026,Births by maternal race/ethnicity,Black,3438,Number
Oct 1 2023,Births by maternal race/ethnicity,Hispanic,7683,Number
Jan 1 2024,Births by maternal race/ethnicity,Hispanic,7420,Number
Apr 1 2024,Births by maternal race/ethnicity,Hispanic,7372,Number
Jul 1 2024,Births by maternal race/ethnicity,Hispanic,7837,Number
Oct 1 2024,Births by maternal race/ethnicity,Hispanic,7543,Number
Jan 1 2025,Births by maternal race/ethnicity,Hispanic,7087,Number
Apr 1 2025,Births by maternal race/ethnicity,Hispanic,7083,Number
Jul 1 2025,Births by maternal race/ethnicity,Hispanic,7479,Number
Oct 1 2025,Births by maternal race/ethnicity,Hispanic,7004,Number
Jan 1 2026,Births by maternal race/ethnicity,Hispanic,6661,Number
Oct 1 2023,Births by maternal race/ethnicity,White,9258,Number
Jan 1 2024,Births by maternal race/ethnicity,White,8959,Number
Apr 1 2024,Births by maternal race/ethnicity,White,9123,Number
Jul 1 2024,Births by maternal race/ethnicity,White,9271,Number
Oct 1 2024,Births by maternal race/ethnicity,White,9120,Number
Jan 1 2025,Births by maternal race/ethnicity,White,8894,Number
Apr 1 2025,Births by maternal race/ethnicity,White,9314,Number
Jul 1 2025,Births by maternal race/ethnicity,White,9646,Number
Oct 1 2025,Births by maternal race/ethnicity,White,9475,Number
Jan 1 2026,Births by maternal race/ethnicity,White,8939,Number
Oct 1 2023,Births by maternal race/ethnicity,Other/Unknown,660,Number
Jan 1 2024,Births by maternal race/ethnicity,Other/Unknown,661,Number
Apr 1 2024,Births by maternal race/ethnicity,Other/Unknown,625,Number
Jul 1 2024,Births by maternal race/ethnicity,Other/Unknown,715,Number
Oct 1 2024,Births by maternal race/ethnicity,Other/Unknown,720,Number
Jan 1 2025,Births by maternal race/ethnicity,Other/Unknown,681,Number
Apr 1 2025,Births by maternal race/ethnicity,Other/Unknown,785,Number
Jul 1 2025,Births by maternal race/ethnicity,Other/Unknown,687,Number
Oct 1 2025,Births by maternal race/ethnicity,Other/Unknown,646,Number
Jan 1 2026,Births by maternal race/ethnicity,Other/Unknown,621,Number
