date,metric,submetric,value,display
Oct 1 2023,Breastfed infants,Breastfed infants,88.05,Percent
Jan 1 2024,Breastfed infants,Breastfed infants,87.53,Percent
Apr 1 2024,Breastfed infants,Breastfed infants,87.69,Percent
Jul 1 2024,Breastfed infants,Breastfed infants,87.58,Percent
Oct 1 2024,Breastfed infants,Breastfed infants,87.58,Percent
Jan 1 2025,Breastfed infants,Breastfed infants,88.01,Percent
Apr 1 2025,Breastfed infants,Breastfed infants,89.56,Percent
Jul 1 2025,Breastfed infants,Breastfed infants,89.94,Percent
Oct 1 2025,Breastfed infants,Breastfed infants,88.67,Percent
Jan 1 2026,Breastfed infants,Breastfed infants,89.21,Percent
