Date,metric,submetric,value,display
Oct 1 2023,Total IMR,Total,4.21,"per 1,000 live births"
Jan 1 2024,Total IMR,Total,4.22,"per 1,000 live births"
Apr 1 2024,Total IMR,Total,4.2,"per 1,000 live births"
Jul 1 2024,Total IMR,Total,4.05,"per 1,000 live births"
Oct 1 2024,Total IMR,Total,3.9,"per 1,000 live births"
Jan 1 2025,Total IMR,Total,3.88,"per 1,000 live births"
Apr 1 2025,Total IMR,Total,4.16,"per 1,000 live births"
Jul 1 2025,Total IMR,Total,4.22,"per 1,000 live births"
Oct 1 2025,Total IMR,Total,4.26,"per 1,000 live births"
Jan 1 2026,Total IMR,Total,4.22,"per 1,000 live births"
